manufacturer_code,legal_name,display_name,market_status,segments,brands,logo_path,logo_target_path,logo_status,source_name,source_url,verification_status
OEM-KIA,Kia India Private Limited,Kia India,current,PASSENGER_VEHICLE|ELECTRIC_VEHICLE,Kia,/assets/vehicle-brands/kia.svg,/assets/vehicle-brands/kia.svg,verified,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-MAHINDRA,Mahehindra & Mahindra Limited,Mahindra & Mahindra,current,PASSENGER_VEHICLE|COMMERCIAL_VEHICLE|THREE_WHEELER|TRACTOR_AGRICULTURAL|ELECTRIC_VEHICLE,Mahindra,/assets/vehicle-brands/mahindra.svg,/assets/vehicle-brands/mahindra.svg,verified,SIAM|TMA,https://www.siam.in/about-us/members,association_verified
OEM-MAHINDRA-ELECTRIC,Mahindra Electric Automobile Limited,Mahindra Electric Automobile,current,ELECTRIC_VEHICLE,Mahindra Electric,/assets/vehicle-brands/mahindra.svg,/assets/vehicle-brands/mahindra.svg,verified,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-MARUTI-SUZUKI,Maruti Suzuki India Limited,Maruti Suzuki India,current,PASSENGER_VEHICLE|ELECTRIC_VEHICLE,Maruti Suzuki,/assets/vehicle-brands/maruti-suzuki.svg,/assets/vehicle-brands/maruti-suzuki.svg,verified,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-MERCEDES-BENZ,Mercedes-Benz India Private Limited,Mercedes-Benz India,current,PASSENGER_VEHICLE|ELECTRIC_VEHICLE,Mercedes-Benz,,/assets/vehicle-brands/mercedes-benz.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-NISSAN,Nissan Motor India Private Limited,Nissan Motor India,current,PASSENGER_VEHICLE,Nissan|Datsun,,/assets/vehicle-brands/nissan.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-OLECTRA,Olectra Greentech Limited,Olectra Greentech,current,COMMERCIAL_VEHICLE|ELECTRIC_VEHICLE,Olectra,,/assets/vehicle-brands/olectra.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-PIAGGIO,Piaggio Vehicles Private Limited,Piaggio Vehicles,current,THREE_WHEELER|ELECTRIC_VEHICLE,Piaggio|Ape,,/assets/vehicle-brands/piaggio.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-EKA,Pinnacle Mobility Solutions Private Limited,Pinnacle Mobility Solutions,current,COMMERCIAL_VEHICLE|ELECTRIC_VEHICLE,EKA,,/assets/vehicle-brands/eka.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-PMI,PMI Electro Mobility Solutions Private Limited,PMI Electro Mobility Solutions,current,COMMERCIAL_VEHICLE|ELECTRIC_VEHICLE,PMI,,/assets/vehicle-brands/pmi.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-RENAULT,Renault India Private Limited,Renault India,current,PASSENGER_VEHICLE,Renault,,/assets/vehicle-brands/renault.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-RIVER,River Mobility Private Limited,River Mobility,current,TWO_WHEELER|ELECTRIC_VEHICLE,River,,/assets/vehicle-brands/river.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-EICHER-MOTORS,Eicher Motors Limited,Eicher Motors,current,TWO_WHEELER,Royal Enfield,,/assets/vehicle-brands/royal-enfield.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-SCANIA,Scania Commercial Vehicles India Private Limited,Scania Commercial Vehicles India,current,COMMERCIAL_VEHICLE,Scania,,/assets/vehicle-brands/scania.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-SAVWIPL,Skoda Auto Volkswagen India Private Limited,Skoda Auto Volkswagen India,current,PASSENGER_VEHICLE|ELECTRIC_VEHICLE,Skoda|Volkswagen|Audi|Porsche|Lamborghini,,/assets/vehicle-brands/skoda-volkswagen.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-SML-MAHINDRA,SML Mahindra Limited,SML Mahindra,current,COMMERCIAL_VEHICLE,SML Mahindra|SML Isuzu,,/assets/vehicle-brands/sml-mahindra.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-STELLANTIS,Stellantis India Private Limited,Stellantis India,current,PASSENGER_VEHICLE|ELECTRIC_VEHICLE,Jeep|Citroen,,/assets/vehicle-brands/stellantis.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-SUZUKI-MOTORCYCLE,Suzuki Motorcycle India Private Limited,Suzuki Motorcycle India,current,TWO_WHEELER,Suzuki,,/assets/vehicle-brands/suzuki.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-SWITCH,Switch Mobility Automotive Limited,Switch Mobility,current,COMMERCIAL_VEHICLE|ELECTRIC_VEHICLE,Switch Mobility,,/assets/vehicle-brands/switch-mobility.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-TATA-MOTORS,Tata Motors Limited,Tata Motors,current,COMMERCIAL_VEHICLE|PASSENGER_VEHICLE|ELECTRIC_VEHICLE,Tata,/assets/vehicle-brands/tata.svg,/assets/vehicle-brands/tata.svg,verified,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-TATA-PASSENGER,Tata Motors Passenger Vehicles Limited,Tata Motors Passenger Vehicles,current,PASSENGER_VEHICLE|ELECTRIC_VEHICLE,Tata,/assets/vehicle-brands/tata.svg,/assets/vehicle-brands/tata.svg,verified,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-MONTRA,TI Clean Mobility Private Limited,TI Clean Mobility,current,THREE_WHEELER|COMMERCIAL_VEHICLE|ELECTRIC_VEHICLE,Montra Electric,,/assets/vehicle-brands/montra-electric.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-TOYOTA,Toyota Kirloskar Motor Private Limited,Toyota Kirloskar Motor,current,PASSENGER_VEHICLE|ELECTRIC_VEHICLE,Toyota,/assets/vehicle-brands/toyota.svg,/assets/vehicle-brands/toyota.svg,verified,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-TRIUMPH,Triumph Motorcycles (India) Private Limited,Triumph Motorcycles India,current,TWO_WHEELER,Triumph,,/assets/vehicle-brands/triumph.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-TVS,TVS Motor Company Limited,TVS Motor Company,current,TWO_WHEELER|THREE_WHEELER|ELECTRIC_VEHICLE,TVS,,/assets/vehicle-brands/tvs.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-VECV,VE Commercial Vehicles Limited,VE Commercial Vehicles,current,COMMERCIAL_VEHICLE,Eicher|Volvo Trucks,,/assets/vehicle-brands/eicher.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-VINFAST,VinFast Auto India Private Limited,VinFast Auto India,current,PASSENGER_VEHICLE|ELECTRIC_VEHICLE,VinFast,,/assets/vehicle-brands/vinfast.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-VOLVO-AUTO,Volvo Auto India Private Limited,Volvo Auto India,current,PASSENGER_VEHICLE|ELECTRIC_VEHICLE,Volvo,,/assets/vehicle-brands/volvo.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-ACE,Action Construction Equipment Limited,Action Construction Equipment,current,TRACTOR_AGRICULTURAL|CONSTRUCTION_EQUIPMENT|MATERIAL_HANDLING,ACE,,/assets/vehicle-brands/ace.svg,missing,TMA,https://www.tmaindia.in/member-companies.php,association_verified
OEM-CAPTAIN-TRACTORS,Captain Tractors Private Limited,Captain Tractors,current,TRACTOR_AGRICULTURAL,Captain,,/assets/vehicle-brands/captain-tractors.svg,missing,TMA,https://www.tmaindia.in/member-companies.php,association_verified
OEM-JOHN-DEERE,John Deere India Private Limited,John Deere India,current,TRACTOR_AGRICULTURAL,John Deere,,/assets/vehicle-brands/john-deere.svg,missing,TMA,https://www.tmaindia.in/member-companies.php,association_verified
OEM-KUBOTA-AGRI,Kubota Agricultural Machinery India Private Limited,Kubota Agricultural Machinery India,current,TRACTOR_AGRICULTURAL,Kubota,,/assets/vehicle-brands/kubota.svg,missing,TMA,https://www.tmaindia.in/member-companies.php,association_verified
OEM-PREET,Preet Tractors Private Limited,Preet Tractors,current,TRACTOR_AGRICULTURAL|CONSTRUCTION_EQUIPMENT,Preet,,/assets/vehicle-brands/preet.svg,missing,TMA,https://www.tmaindia.in/member-companies.php,association_verified
OEM-DEUTZ-FAHR,SAME Deutz-Fahr India Private Limited,SAME Deutz-Fahr India,current,TRACTOR_AGRICULTURAL,Deutz-Fahr,,/assets/vehicle-brands/deutz-fahr.svg,missing,TMA,https://www.tmaindia.in/member-companies.php,association_verified
OEM-TAFE,Tractors and Farm Equipment Limited,TAFE,current,TRACTOR_AGRICULTURAL,TAFE|Massey Ferguson,,/assets/vehicle-brands/tafe.svg,missing,TMA,https://www.tmaindia.in/member-companies.php,association_verified
OEM-VST,VST Tillers Tractors Limited,VST Tillers Tractors,current,TRACTOR_AGRICULTURAL,VST,,/assets/vehicle-brands/vst.svg,missing,TMA,https://www.tmaindia.in/member-companies.php,association_verified
OEM-JCB,JCB India Limited,JCB India,current,CONSTRUCTION_EQUIPMENT|EARTHMOVING_MINING|MATERIAL_HANDLING,JCB,,/assets/vehicle-brands/jcb.svg,missing,ICEMA,https://www.i-cema.in/icema-leadership/,association_verified
OEM-CATERPILLAR,Caterpillar India Private Limited,Caterpillar India,current,CONSTRUCTION_EQUIPMENT|EARTHMOVING_MINING|MATERIAL_HANDLING,Caterpillar|CAT,,/assets/vehicle-brands/caterpillar.svg,missing,ICEMA,https://www.i-cema.in/governing-council/,association_verified
OEM-TATA-HITACHI,Tata Hitachi Construction Machinery Company Private Limited,Tata Hitachi Construction Machinery,current,CONSTRUCTION_EQUIPMENT|EARTHMOVING_MINING,Tata Hitachi,,/assets/vehicle-brands/tata-hitachi.svg,missing,ICEMA,https://www.i-cema.in/governing-council/,association_verified
OEM-SCHWING-STETTER,Schwing Stetter India Private Limited,Schwing Stetter India,current,CONSTRUCTION_EQUIPMENT,Schwing Stetter,,/assets/vehicle-brands/schwing-stetter.svg,missing,ICEMA,https://www.i-cema.in/governing-council/,association_verified
OEM-AMMANN,Ammann India Private Limited,Ammann India,current,CONSTRUCTION_EQUIPMENT,Ammann,,/assets/vehicle-brands/ammann.svg,missing,ICEMA,https://www.i-cema.in/governing-council/,association_verified
OEM-CASE-CE,CASE Construction Equipment India Private Limited,CASE Construction Equipment India,current,CONSTRUCTION_EQUIPMENT|EARTHMOVING_MINING,CASE,,/assets/vehicle-brands/case.svg,missing,ICEMA,https://www.i-cema.in/icema-leadership/,association_verified
OEM-KOBELCO,Kobelco Construction Equipment India Private Limited,Kobelco Construction Equipment India,current,CONSTRUCTION_EQUIPMENT|EARTHMOVING_MINING,Kobelco,,/assets/vehicle-brands/kobelco.svg,missing,ICEMA,https://www.i-cema.in/governing-council/,association_verified
OEM-SANY,SANY Heavy Industry India Private Limited,SANY Heavy Industry India,current,CONSTRUCTION_EQUIPMENT|EARTHMOVING_MINING|MATERIAL_HANDLING,SANY,,/assets/vehicle-brands/sany.svg,missing,ICEMA,https://www.i-cema.in/governing-council/,association_verified
OEM-TEREX,Terex India Private Limited,Terex India,current,CONSTRUCTION_EQUIPMENT|MATERIAL_HANDLING,Terex,,/assets/vehicle-brands/terex.svg,missing,ICEMA,https://www.i-cema.in/governing-council/,association_verified
OEM-WIRTGEN,Wirtgen India Private Limited,Wirtgen India,current,CONSTRUCTION_EQUIPMENT,Wirtgen,,/assets/vehicle-brands/wirtgen.svg,missing,ICEMA,https://www.i-cema.in/icema-leadership/,association_verified
